,AR-ST,Curvature-Aware Tracing,Enhanced,Hybrid,Overstep-Bisect,Relaxed(ω=1.2),Segment,Slope-AR(β=0.3),Standard
Sphere,7.73070987654321,9.021604938271604,8.383101851851851,9.259452160493828,9.269675925925926,8.075038580246913,5.855516975308642,7.751736111111111,9.317322530864198
Grazing Plane,38.3149112654321,42.17804783950617,41.915219907407405,38.9867862654321,35.2421875,38.33690200617284,24.514274691358025,27.685474537037038,45.76494984567901
Cube,6.5171682098765435,7.949556327160494,7.397472993827161,7.953125,8.089699074074074,6.81664737654321,5.260223765432099,6.865258487654321,7.9543788580246915
Thin Torus,6.606481481481482,8.038290895061728,7.372781635802469,8.069540895061728,8.06934799382716,6.810667438271605,5.3656442901234565,7.00366512345679,8.076485339506172
Cylinder,6.614872685185185,7.882137345679013,7.317033179012346,7.990354938271605,8.072916666666666,6.869888117283951,5.271412037037037,6.961709104938271,8.034239969135802
Near Miss,6.744116512345679,8.097704475308642,7.53539737654321,8.280671296296296,8.283854166666666,6.942322530864198,5.458622685185185,7.12451774691358,8.320601851851851
Hollow Cube (CSG),6.574266975308642,8.18016975308642,7.650366512345679,8.203028549382717,8.279899691358025,6.880015432098766,5.389949845679013,7.069155092592593,8.204378858024691
Smooth Blend,6.266251929012346,7.627314814814815,7.056182484567901,7.66454475308642,7.7135898919753085,6.501784336419753,5.121672453703703,6.764708719135802,7.691743827160494
Onion Shell,8.654128086419753,9.117091049382717,8.530381944444445,9.649594907407407,9.667824074074074,8.959297839506172,6.071277006172839,8.058738425925926,9.713059413580247
Menger Sponge (iter=3),6.834008487654321,8.413194444444445,7.911072530864198,8.357542438271604,8.400270061728396,7.184702932098766,5.497781635802469,7.2265625,8.427276234567902
Mandelbulb,15.750578703703704,16.497878086419753,15.646508487654321,16.639274691358025,15.092399691358025,16.683449074074073,10.27391975308642,14.129243827160494,18.238329475308642
Bad Lipschitz Sphere,4.727623456790123,5.807677469135802,5.502121913580247,5.807677469135802,5.807291666666667,4.999614197530864,7.237847222222222,5.300347222222222,5.807677469135802
Pillar Forest,25.45191936728395,25.81983024691358,27.381221064814813,28.648341049382715,28.867766203703702,26.428578317901234,15.474874614197532,25.259452160493826,29.309124228395063
Thin Planes Stack,61.27488425925926,64.65162037037037,64.35841049382717,55.28510802469136,44.91994598765432,58.838541666666664,40.21527777777778,44.03192515432099,68.4579475308642
